Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
China;GDP From Construction;2014-06-30T00:00:00;17912.1;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2014-09-30T00:00:00;30169.8;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2014-12-31T00:00:00;44880.5;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2015-03-31T00:00:00;7176.3;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2015-06-30T00:00:00;18864.8;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2015-09-30T00:00:00;31442.3;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2015-12-31T00:00:00;46626.7;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2016-03-31T00:00:00;7492.3;Quarterly;CHINAGDPFROCON;2018-10-22T10:34:00
China;GDP From Construction;2016-06-30T00:00:00;19984.6;Quarterly;CHINAGDPFROCON;2018-10-22T10:34:00
China;GDP From Construction;2016-09-30T00:00:00;33371.5;Quarterly;CHINAGDPFROCON;2018-10-22T10:34:00
China;GDP From Construction;2016-12-31T00:00:00;49702.9;Quarterly;CHINAGDPFROCON;2018-10-22T10:34:00
China;GDP From Construction;2017-03-31T00:00:00;8334.8;Quarterly;CHINAGDPFROCON;2019-07-15T09:56:00
China;GDP From Construction;2017-06-30T00:00:00;22256.8;Quarterly;CHINAGDPFROCON;2019-07-15T09:56:00
China;GDP From Construction;2017-09-30T00:00:00;37149.1;Quarterly;CHINAGDPFROCON;2019-07-15T09:56:00
China;GDP From Construction;2017-12-31T00:00:00;55313.8;Quarterly;CHINAGDPFROCON;2019-07-15T09:56:00
China;GDP From Construction;2018-03-31T00:00:00;9518.3;Quarterly;CHINAGDPFROCON;2019-07-15T09:56:00
China;GDP From Construction;2018-06-30T00:00:00;24999.7;Quarterly;CHINAGDPFROCON;2019-07-15T09:56:00
China;GDP From Construction;2018-09-30T00:00:00;41309.8;Quarterly;CHINAGDPFROCON;2019-07-15T09:56:00
China;GDP From Construction;2018-12-31T00:00:00;61808;Quarterly;CHINAGDPFROCON;2019-01-26T10:35:00
China;GDP From Construction;2019-03-31T00:00:00;10528.6;Quarterly;CHINAGDPFROCON;2019-04-20T10:29:00
China;GDP From Construction;2019-06-30T00:00:00;27465.6;Quarterly;CHINAGDPFROCON;2019-07-20T10:18:00
